Work Day,Group,Division,Actual $
01/17/2018,Hubbell Lighting,C & I,2036913
01/17/2018,Hubbell Lighting,Residential,660968
01/17/2018,Integrated Solutions,Integrated Solutions,4977
01/17/2018,Power Systems,Aiken - Arresters,140326
01/17/2018,Power Systems,Aiken - Cable Acc,34440
01/17/2018,Power Systems,Aiken - Insulator,100165
01/17/2018,Power Systems,Civil & Construction,508924
01/17/2018,Power Systems,Connectors,898146
01/17/2018,Power Systems,EMC,72202
01/17/2018,Power Systems,Enclosures,485001
01/17/2018,Power Systems,HPS Brazil,40000
01/17/2018,Power Systems,HPS China,17715
01/17/2018,Power Systems,Switching Fusing,374850
01/17/2018,Power Systems,Tools and Equipment,185014
01/17/2018,Power Systems,Total Bushings,248791
01/17/2018,Power Systems,Utility Automation,234037
01/18/2018,Commercial & Industrial,ACME,97350
01/18/2018,Commercial & Industrial,Gleason Reel,128675
01/18/2018,Commercial & Industrial,Haefely,18604
01/18/2018,Commercial & Industrial,Hipotronics,44608
01/18/2018,Commercial & Industrial,Industrial Controls,322358
01/18/2018,Commercial & Industrial,Raco/TayMac,330326
01/18/2018,Commercial & Industrial,WBP,1399440
01/18/2018,Commercial & Industrial,Wiegmann,233810
01/18/2018,Construction & Energy,Austdac,118856
01/18/2018,Construction & Energy,Burndy - US,900912
01/18/2018,Construction & Energy,CMC,438861
01/18/2018,Construction & Energy,Continental Industries,150000
01/18/2018,Construction & Energy,GAI-Tronics - UK,27254
01/18/2018,Construction & Energy,GAI-Tronics - US,68892
01/18/2018,Construction & Energy,Hawke - UK,87267
01/18/2018,Construction & Energy,Hubbell Canada,483791
01/18/2018,Construction & Energy,Hubbell Products Mexico,35402
01/18/2018,Construction & Energy,Hubbell Scotland,585496
01/18/2018,Construction & Energy,Killark,160107
01/18/2018,Construction & Energy,Lyall,64000
01/18/2018,Hubbell Lighting,C & I,2727732
01/18/2018,Hubbell Lighting,Residential,848785
01/18/2018,Integrated Solutions,Integrated Solutions,30278
01/18/2018,Power Systems,Aiken - Arresters,337676
01/18/2018,Power Systems,Aiken - Cable Acc,63164
01/18/2018,Power Systems,Aiken - Insulator,311304
01/18/2018,Power Systems,Civil & Construction,974909
01/18/2018,Power Systems,Connectors,606267
01/18/2018,Power Systems,EMC,72421
01/18/2018,Power Systems,Enclosures,433167
01/18/2018,Power Systems,HPS Brazil,12000
01/18/2018,Power Systems,HPS China,-16218
01/18/2018,Power Systems,Switching Fusing,418712
01/18/2018,Power Systems,Tools and Equipment,165326
01/18/2018,Power Systems,Total Bushings,197686
01/18/2018,Power Systems,Utility Automation,193981
01/19/2018,Commercial & Industrial,ACME,125873
01/19/2018,Commercial & Industrial,Gleason Reel,91757
01/19/2018,Commercial & Industrial,Haefely,396133
01/19/2018,Commercial & Industrial,Hipotronics,82711
01/19/2018,Commercial & Industrial,Industrial Controls,213269
01/19/2018,Commercial & Industrial,Raco/TayMac,455969
01/19/2018,Commercial & Industrial,WBP,1297314
01/19/2018,Commercial & Industrial,Wiegmann,158723
01/19/2018,Construction & Energy,Austdac,72500
01/19/2018,Construction & Energy,Burndy - US,814629
01/19/2018,Construction & Energy,CMC,170355
01/19/2018,Construction & Energy,Continental Industries,123000
01/19/2018,Construction & Energy,GAI-Tronics - UK,188149
01/19/2018,Construction & Energy,GAI-Tronics - US,169238
01/19/2018,Construction & Energy,Gai-Tronics - Italy,-155360
01/19/2018,Construction & Energy,Hawke - UK,67986
01/19/2018,Construction & Energy,Hubbell Canada,628340
01/19/2018,Construction & Energy,Hubbell Products Mexico,122551
01/19/2018,Construction & Energy,Hubbell Scotland,16807
01/19/2018,Construction & Energy,Killark,696154
01/19/2018,Construction & Energy,Lyall,332000
01/19/2018,Hubbell Lighting,C & I,2348157
01/19/2018,Hubbell Lighting,Residential,574935
01/19/2018,Integrated Solutions,Integrated Solutions,11940
01/19/2018,Power Systems,Aiken - Arresters,296746
01/19/2018,Power Systems,Aiken - Cable Acc,41028
01/19/2018,Power Systems,Aiken - Insulator,415700
01/19/2018,Power Systems,Civil & Construction,965957
01/19/2018,Power Systems,Connectors,712570
01/19/2018,Power Systems,EMC,46445
01/19/2018,Power Systems,Enclosures,311154
01/19/2018,Power Systems,HPS Brazil,41000
01/19/2018,Power Systems,HPS China,6168
01/19/2018,Power Systems,Switching Fusing,387431
01/19/2018,Power Systems,Tools and Equipment,404504
01/19/2018,Power Systems,Total Bushings,641972
01/19/2018,Power Systems,Utility Automation,155823
01/22/2018,Commercial & Industrial,ACME,176527
01/22/2018,Commercial & Industrial,Gleason Reel,167020
01/22/2018,Commercial & Industrial,Haefely,5598
01/22/2018,Commercial & Industrial,Hipotronics,26186
01/22/2018,Commercial & Industrial,Industrial Controls,260525
01/22/2018,Commercial & Industrial,Raco/TayMac,1287875
01/22/2018,Commercial & Industrial,WBP,1692307
01/22/2018,Commercial & Industrial,Wiegmann,217528
01/22/2018,Construction & Energy,Austdac,40844
01/22/2018,Construction & Energy,Burndy - US,1023622
01/22/2018,Construction & Energy,CMC,108595
01/22/2018,Construction & Energy,Continental Industries,373000
01/22/2018,Construction & Energy,GAI-Tronics - UK,36246
01/22/2018,Construction & Energy,GAI-Tronics - US,314919
01/22/2018,Construction & Energy,Hawke - UK,50530
01/22/2018,Construction & Energy,Hubbell Canada,468287
01/22/2018,Construction & Energy,Hubbell Products Mexico,89531
01/22/2018,Construction & Energy,Hubbell Scotland,61650
01/22/2018,Construction & Energy,Killark,421491
01/22/2018,Construction & Energy,Lyall,442000
01/22/2018,Hubbell Lighting,C & I,2275146
01/22/2018,Hubbell Lighting,Residential,1281100
01/22/2018,Integrated Solutions,Integrated Solutions,100656
01/22/2018,Power Systems,Aiken - Arresters,242646
01/22/2018,Power Systems,Aiken - Cable Acc,54147
01/22/2018,Power Systems,Aiken - Insulator,93882
01/22/2018,Power Systems,Civil & Construction,287663
01/22/2018,Power Systems,Connectors,210312
01/22/2018,Power Systems,EMC,144391
01/22/2018,Power Systems,Enclosures,556111
01/22/2018,Power Systems,HPS Brazil,2000
01/22/2018,Power Systems,HPS China,272004
01/22/2018,Power Systems,Switching Fusing,249577
01/22/2018,Power Systems,Tools and Equipment,210356
01/22/2018,Power Systems,Total Bushings,518890
01/22/2018,Power Systems,Utility Automation,54124
01/23/2018,Commercial & Industrial,ACME,113502
01/23/2018,Commercial & Industrial,Gleason Reel,178082
01/23/2018,Commercial & Industrial,Haefely,8766
01/23/2018,Commercial & Industrial,Hipotronics,26102
01/23/2018,Commercial & Industrial,Industrial Controls,301812
01/23/2018,Commercial & Industrial,Raco/TayMac,813051
01/23/2018,Commercial & Industrial,WBP,1535556
01/23/2018,Commercial & Industrial,Wiegmann,185535
01/23/2018,Construction & Energy,Austdac,119521
01/23/2018,Construction & Energy,Burndy - US,1098175
01/23/2018,Construction & Energy,CMC,233982
01/23/2018,Construction & Energy,Continental Industries,183000
01/23/2018,Construction & Energy,GAI-Tronics - UK,100232
