Calendar Day,Group,Company Code,Gross Order $
06/03/2018,Construction & Energy,C351,2930397.02
06/03/2018,Construction & Energy,C362,1030420.39
06/03/2018,Power Systems,C610,17431078.60
06/03/2018,Construction & Energy,C400,1354850.85
06/03/2018,Power Systems,C615,7070.32
06/10/2018,Construction & Energy,C366,2397368.31
06/10/2018,Commercial & Industrial,C750,757028.48
06/10/2018,Power Systems,C610,17728797.84
06/10/2018,Construction & Energy,C450,726011.65
06/10/2018,Construction & Energy,C720,1150936.27
06/10/2018,Hubbell Lighting,C520,6396986.99
06/10/2018,Power Systems,C660,49013.68
06/10/2018,Commercial & Industrial,C740,1490234.30
06/10/2018,Commercial & Industrial,C715,395660.98
06/10/2018,Construction & Energy,C792,0.00
06/10/2018,Commercial & Industrial,C400,6801790.17
06/10/2018,Commercial & Industrial,C710,92676.89
06/10/2018,Construction & Energy,C794,232550.47
06/10/2018,Power Systems,C615,25398.67
06/10/2018,Construction & Energy,C400,2061813.55
06/10/2018,Commercial & Industrial,C300,10007321.43
06/10/2018,Power Systems,C650,660353.04
